# Comment out rows with a hash
sainsburys,ny bagels,new-york-bakery-co-cinnamon---raisin-bagels-x5
morrisons,ny bagels,new-york-bagel-co-cinnamon-raisin-114353011
asda,ny bagels,bagels/new-york-bakery-co-cinnamon-raisin-bagels/1000004372338
tesco,ny bagels,253829047
waitrose,ny bagels,new-york-bakery-co-cinnamon-raisin-bagels/488463-162428-162429
sainsburys,yeo valley strawb yog,yeo-valley-organic-yogurt-strawberry-450g
morrisons,yeo valley strawb yog,yeo-valley-family-farm-strawberry-yogurt-216892011
asda,yeo valley strawb yog,big-pots/yeo-valley-strawberry-yogurt/24151900
tesco,yeo valley strawb yog,250983242
waitrose,yeo valley strawb yog,yeo-valley-strawberry-bio-live-yeogurt/053024-26459-26460
#sainsburys,mcvities dark chocolate digestives 433g,mcvities-digestives-dark-chocolate-433g
#morrisons,mcvities dark chocolate digestives 433g,mcvitie-s-digestives-dark-chocolate-408294011
#asda,mcvities dark chocolate digestives 433g,chocolate-biscuits/mc-vities-digestives-dark-chocolate/1000052709666
sainsburys,mcvities dark chocolate digestives 2x316g,mcvities-digestives-dark-chocolate-x2-316g
morrisons,mcvities dark chocolate digestives 2x316g,mcvitie-s-digestives-dark-chocolate-twin-pack-408291011
asda,mcvities dark chocolate digestives 2x316g,chocolate-biscuits/mc-vities-digestives-dark-chocolate-twin-pack/1000046413189
asda,lavazza qualita rossa coffee single pack,filter-cafetiere-coffee/lavazza-qualita-rossa-ground-coffee/19344
tesco,lavazza qualita rossa coffee single pack,254889083
morrisons,lavazza qualita rossa coffee single pack,lavazza-qualit-rossa-ground-coffee-113704011
waitrose,lavazza qualita rossa coffee single pack,lavazza-qualita-rossa-espresso/016519-7923-7924
sainsburys,lavazza qualita rossa coffee twin pack,lavazza-coffee/lavazza-qualita-rossa-ground-coffee-twin-pack-espresso-x2-250g
asda,lavazza qualita rossa coffee twin pack,filter-cafetiere-coffee/lavazza-qualita-rossa-ground-coffee/1000008931457
tesco,lavazza qualita rossa coffee twin pack,257352903
morrisons,lavazza qualita rossa coffee twin pack,lavazza-qualita-rossa-ground-coffee-497497011
waitrose,lavazza qualita rossa coffee twin pack,lavazza-qualita-rossa-espresso/030254-14779-14780
sainsburys,sainsburys strawberry conserve ttd,sainsburys-strawberry-conserve--taste-the-difference-340g
sainsburys,clearasil ultra treatment pads (x65),clearasil-ultra-treatment-pads-x65
asda,clearasil ultra treatment pads (x65),cleanser-toner/clearasil-ultra-rapid-action-pads/60086620
tesco,clearasil ultra treatment pads (x65),252226368
morrisons,clearasil ultra treatment pads (x65),clearasil-ultra-dual-action-pads-217479011
boots,clearasil ultra treatment pads (x65),clearasil-ultra-rapid-action-pads-65s-10084702
superdrug,clearasil ultra treatment pads (x65),Skin/Cleansing-Pads/Clearasil-Ultra-Rapid-Action-Pads-x-65/p/143855
#sainsburys,ben & jerry's chocolate fudge brownie,ben---jerrys-ice-cream-chocolate-fudge-brownie-500ml
#sainsburys,ben & jerry's s'wich up,ben---jerrys-swich-up-ice-cream-cookie-dough-500ml
#asda,ben & jerry's chocolate fudge brownie,ice-cream/ben-jerrys-chocolate-fudge-brownie-ice-cream/1000189263323
#asda,ben & jerry's cookie dough,ice-cream/ben-jerrys-cookie-dough-ice-cream/1000189263344
#morrisons,ben & jerry's cookie dough,ben-jerry-s-cookie-dough-ice-cream-510417011
#tesco,ben & jerry's chocolate fudge brownie,305980150
#tesco,ben & jerry's s'wich up,305736469
#tesco,ben & jerry's cookie dough,305955388
#waitrose,ben & jerry's chocolate fudge brownie,ben-jerrys-chocolate-fudge-brownie-ice-cream/005413-2343-2344
